field_location,field_name,data_type,units,field_description
metadata_and_annual,bldg_id,string,n/a,The dwelling unit model ID number (between 1 and the number of samples).
metadata_and_annual,out.electricity.ceiling_fan.energy_consumption..kwh,float,kwh,Electricity consumed by ceiling fan.
metadata_and_annual,out.electricity.clothes_dryer.energy_consumption..kwh,float,kwh,Electricity consumed by clothes dryer.
metadata_and_annual,out.electricity.clothes_washer.energy_consumption..kwh,float,kwh,Electricity consumed by clothes washer.
metadata_and_annual,out.electricity.cooling_fans_pumps.energy_consumption..kwh,float,kwh,Electricity consumed by supply fan (air distribution) or circulating pump (geothermal loop) during cooling.
metadata_and_annual,out.electricity.cooling.energy_consumption..kwh,float,kwh,Electricity consumed by cooling systems excludes usage by fans/pumps.
metadata_and_annual,out.electricity.dishwasher.energy_consumption..kwh,float,kwh,Electricity consumed by dishwasher. 
metadata_and_annual,out.electricity.ev_charging.energy_consumption..kwh,float,kwh,Electricity consumed by electric vehicle charging.
metadata_and_annual,out.electricity.freezer.energy_consumption..kwh,float,kwh,Electricity consumed by standalone freezers.
metadata_and_annual,out.electricity.heating_fans_pumps.energy_consumption..kwh,float,kwh,Electricity consumed by supply fan (air distribution) or circulating pump (hydronic distribution or geothermal loop) during heating.
metadata_and_annual,out.electricity.heating_hp_bkup.energy_consumption..kwh,float,kwh,"Electricity consumed by heat pump backup, excludes usage by heat pump backup fans/pumps."
metadata_and_annual,out.electricity.heating_hp_bkup_fa.energy_consumption..kwh,float,kwh,Electricity consumed by supply fan (air distribution) or circulating pump (hydronic distribution) during heat pump backup.
metadata_and_annual,out.electricity.heating.energy_consumption..kwh,float,kwh,Electricity consumed by heating systems excludes usage by fans/pumps.
metadata_and_annual,out.electricity.permanent_spa_heat.energy_consumption..kwh,float,kwh,Electricity consumed by spa heating.
metadata_and_annual,out.electricity.permanent_spa_pump.energy_consumption..kwh,float,kwh,Electricity consumed by spa pump.
metadata_and_annual,out.electricity.hot_water.energy_consumption..kwh,float,kwh,Electricity consumed by hot water system excludes recirc pump and solar thermal pump. 
